,organisation,records lost,year,breach_date,sector,method,data sensitivity,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,number of articles
102,TD Ameritrade,6300000,2007,2007-09-01,finance,hacked,1.0,td ameritrade,tdameritrade.com,1975.0,financial services,5001 - 10000,"omaha, nebraska, united states",united states,linkedin.com/company/td-ameritrade,4840.0,10585.0,0
114,US Customs and Border Protection,100000,2019,2019-06-01,government,hacked,2.0,u.s. customs and border protection,cbp.gov,2003.0,government administration,5001 - 10000,"washington, district of columbia, united states",united states,linkedin.com/company/customs-and-border-protection,3871.0,6107.0,0
121,Viacom,3000000,2017,2017-09-01,web,hacked,4.0,viacom,viacomcareers.com,1971.0,entertainment,10001+,"new york, new york, united states",united states,linkedin.com/company/viacom,5535.0,31092.0,0
126,Whitepages,18000000,2019,2019-02-01,web,hacked,1.0,whitepages,whitepages.com,1997.0,internet,201 - 500,"seattle, washington, united states",united states,linkedin.com/company/whitepages,122.0,455.0,0
125,Weebly,43000000,2016,2016-10-01,web,hacked,4.0,weebly,weebly.com,2006.0,internet,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/weebly,178.0,441.0,0
124,Waterly,1000000,2017,2017-01-01,app,poor security,3.0,waterly,waterly.nl,2015.0,food & beverages,1 - 10,"amsterdam, noord-holland, netherlands",netherlands,linkedin.com/company/waterly,1.0,1.0,0
119,Urban Massage,309000,2018,2018-11-01,app,poor security,2.0,urban massage,urbanmassage.com,2014.0,"health, wellness and fitness",201 - 500,"london, greater london, united kingdom",united kingdom,linkedin.com/company/urban-massage,131.0,195.0,0
118,Ubuntu,2000000,2013,2013-07-01,"web, tech",hacked,3.0,ubuntu,ubuntu.com,2004.0,computer software,201 - 500,"london, greater london, united kingdom",united kingdom,linkedin.com/company/ubuntu,150.0,293.0,0
104,Three,130000,2016,2016-11-01,telecoms,hacked,2.0,three.,three.co.uk,2003.0,telecommunications,5001 - 10000,"berks, west berkshire, united kingdom",united kingdom,linkedin.com/company/three-co-uk,3366.0,12380.0,0
94,Spartanburg Regional Healthcare System,400000,2011,2011-05-01,health ,lost device ,4.0,spartanburg regional healthcare system,spartanburgregional.com,1921.0,hospital & health care,1001 - 5000,"spartanburg, south carolina, united states",united states,linkedin.com/company/spartanburg-regional-healthcare-system,1579.0,2622.0,0
81,Petflow,1000000,2019,2019-02-01,retail,poor security,1.0,petflow,petflow.com,2010.0,consumer services,11 - 50,"new york, new york, united states",united states,linkedin.com/company/pet-flow,20.0,76.0,0
82,Plex,15000000,2022,2022-08-01,web,hacked,1.0,plex,plexgroup.com,1990.0,design,11 - 50,"berlin, berlin, germany",germany,linkedin.com/company/plex,15.0,55.0,0
86,RockYou!,32000000,2009,2009-12-01,"web, gaming",hacked,1.0,rockyou,rockyou.com,2005.0,marketing and advertising,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/rockyou,176.0,536.0,0
87,Roll20,4000000,2019,2019-02-01,gaming,hacked,1.0,roll20,roll20.net,2012.0,computer software,11 - 50,"madrid, madrid, spain",spain,linkedin.com/company/roll20,13.0,14.0,0
