employee_bin,count_all_articles,count_breach_articles,percentage_all_articles,percentage_breach_articles,count_non_breach_articles,percentage_non_breach_articles
1-500,95,3679,40.94827586206897,28.88888888888889,3584,28.665120371110937
5001-50000,63,4387,27.155172413793103,34.448370632116216,4324,34.58369991202112
501-5000,58,1323,25.0,10.3886925795053,1265,10.117571782772135
50001-200000,12,2599,5.172413793103448,20.408323517864154,2587,20.691034151803567
200000+,4,747,1.7241379310344829,5.865724381625442,743,5.94257378229225
