employee_bin,count_all_articles,count_breach_articles,Companies from data breaches,Companies from articles about breaches
1-500,95,3679,40.94827586206897,28.888888888888886
501-5000,58,1323,25.0,10.3886925795053
5001-50000,63,4387,27.155172413793103,34.448370632116216
50001-200000,12,2599,5.172413793103448,20.408323517864154
200000+,4,747,1.7241379310344827,5.865724381625442
