size range,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles
10001+,79969,54.10988564855538,6568,51.57440125638006
1001 - 5000,16604,11.234860274714121,1037,8.142913231252454
201 - 500,13051,8.830773394681643,1084,8.5119748723989
5001 - 10000,12345,8.353068543203193,1111,8.72398900667452
11 - 50,7888,5.337302929832871,891,6.996466431095406
1 - 10,7071,4.784491508221125,829,6.509619159795839
51 - 200,5756,3.8947154746599906,842,6.611700039261876
501 - 1000,5106,3.454902226131673,373,2.92893600314095
