year_bin,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles
2005-2009,36,20.454545454545457,770,7.778563491261743
2010-2014,27,15.340909090909092,908,9.17264370138398
2000-2004,22,12.5,2134,21.55773310435397
1995-1999,20,11.363636363636363,891,9.000909182745733
1985-1989,11,6.25,127,1.2829578745327812
1990-1994,10,5.681818181818182,567,5.72785129811092
1975-1979,8,4.545454545454546,1066,10.768764521668857
1965-1969,7,3.977272727272727,216,2.1820385897565413
Other,35,19.886363636363637,3220,32.52853823618547
