size range,count_all_articles,Companies from data breaches,count_breach_articles,Companies from articles about breaches
10001+,54,23.275862068965516,6568,51.57440125638006
1001 - 5000,40,17.24137931034483,1037,8.142913231252454
51 - 200,32,13.793103448275861,842,6.611700039261876
5001 - 10000,25,10.775862068965516,1111,8.72398900667452
11 - 50,24,10.344827586206897,891,6.996466431095406
201 - 500,24,10.344827586206897,1084,8.5119748723989
1 - 10,18,7.758620689655173,829,6.509619159795839
501 - 1000,15,6.4655172413793105,373,2.92893600314095
