employee_bin,count_all_articles,count_breach_articles,percentage_all_articles,percentage_breach_articles
1-500,95,3679,40.94827586206897,28.88888888888889
5001-50000,63,4387,27.155172413793103,34.448370632116216
501-5000,58,1323,25.0,10.3886925795053
50001-200000,12,2599,5.172413793103448,20.408323517864154
200000+,4,747,1.7241379310344829,5.865724381625442
