employee_bin,count_all_articles,count_breach_articles,percentage_all_articles,percentage_breach_articles
5001-50000,44267,4387,29.952635496312336,34.448370632116216
50001-200000,41026,2599,27.759658975573448,20.408323517864154
1-500,34554,3679,23.380472291765344,28.888888888888886
501-5000,19302,1323,13.060423573990121,10.3886925795053
200000+,8641,747,5.846809662358752,5.865724381625442
