Industry,Size,Company F1,Company Accuracy,Breach F1,Breach Accuracy,Sample Size
"banking",large,N/A,N/A,N/A,N/A,0
"financial services",small,1.00,1.00,1.00,1.00,2
"financial services",medium,0.00,0.00,0.00,1.00,1
"financial services",large,0.67,0.50,0.00,1.00,4
"industrial automation",small,1.00,1.00,0.00,1.00,1
"industrial automation",medium,N/A,N/A,N/A,N/A,0
"industrial automation",large,N/A,N/A,N/A,N/A,0
"consumer electronics",small,N/A,N/A,N/A,N/A,0
"consumer electronics",medium,N/A,N/A,N/A,N/A,0
"consumer electronics",large,1.00,1.00,0.00,1.00,2
"consumer goods",small,N/A,N/A,N/A,N/A,0
"consumer goods",medium,1.00,1.00,1.00,1.00,2
"consumer goods",large,N/A,N/A,N/A,N/A,0
"business supplies and equipment",small,0.80,0.67,0.00,1.00,3
"business supplies and equipment",medium,1.00,1.00,0.00,1.00,1
"business supplies and equipment",large,N/A,N/A,N/A,N/A,0
"internet",small,0.80,0.67,0.00,1.00,3
"internet",medium,N/A,N/A,N/A,N/A,0
"internet",large,0.89,0.80,0.50,0.60,10
"non-profit organization management",small,N/A,N/A,N/A,N/A,0
"non-profit organization management",medium,0.67,0.50,0.00,1.00,4
"non-profit organization management",large,0.80,0.67,1.00,1.00,3
"writing and editing",small,1.00,1.00,0.67,0.50,2
"writing and editing",medium,N/A,N/A,N/A,N/A,0
"writing and editing",large,N/A,N/A,N/A,N/A,0
"food & beverages",small,1.00,1.00,1.00,1.00,2
"food & beverages",medium,N/A,N/A,N/A,N/A,0
"food & beverages",large,N/A,N/A,N/A,N/A,0
"sports",small,N/A,N/A,N/A,N/A,0
"sports",medium,N/A,N/A,N/A,N/A,0
"sports",large,1.00,1.00,0.00,1.00,2
"accounting",small,0.67,0.50,0.00,1.00,2
"accounting",medium,N/A,N/A,N/A,N/A,0
"accounting",large,1.00,1.00,1.00,1.00,1
"consumer services",small,0.67,0.50,0.00,1.00,2
"consumer services",medium,N/A,N/A,N/A,N/A,0
"consumer services",large,N/A,N/A,N/A,N/A,0
"chemicals",small,N/A,N/A,N/A,N/A,0
"chemicals",medium,N/A,N/A,N/A,N/A,0
"chemicals",large,0.89,0.80,0.00,0.20,5
"cosmetics",small,0.89,0.80,0.00,0.20,5
"cosmetics",medium,N/A,N/A,N/A,N/A,0
"cosmetics",large,N/A,N/A,N/A,N/A,0
"law enforcement",small,N/A,N/A,N/A,N/A,0
"law enforcement",medium,0.00,0.00,0.00,0.00,1
"law enforcement",large,0.00,0.00,0.00,0.00,1
"restaurants",small,N/A,N/A,N/A,N/A,0
"restaurants",medium,1.00,1.00,1.00,1.00,2
"restaurants",large,1.00,1.00,1.00,1.00,3
"newspapers",small,N/A,N/A,N/A,N/A,0
"newspapers",medium,1.00,1.00,0.00,0.00,1
"newspapers",large,N/A,N/A,N/A,N/A,0
"automotive",small,N/A,N/A,N/A,N/A,0
"automotive",medium,N/A,N/A,N/A,N/A,0
"automotive",large,0.80,0.67,0.00,1.00,3
"arts and crafts",small,0.67,0.50,0.00,1.00,2
"arts and crafts",medium,N/A,N/A,N/A,N/A,0
"arts and crafts",large,N/A,N/A,N/A,N/A,0
"investment management",small,0.67,0.50,0.00,1.00,2
"investment management",medium,N/A,N/A,N/A,N/A,0
"investment management",large,N/A,N/A,N/A,N/A,0
"oil & energy",small,1.00,1.00,0.00,1.00,1
"oil & energy",medium,N/A,N/A,N/A,N/A,0
"oil & energy",large,N/A,N/A,N/A,N/A,0
"railroad manufacture",small,1.00,1.00,0.00,1.00,1
"railroad manufacture",medium,N/A,N/A,N/A,N/A,0
"railroad manufacture",large,N/A,N/A,N/A,N/A,0
"events services",small,0.00,0.00,0.00,0.00,1
"events services",medium,N/A,N/A,N/A,N/A,0
"events services",large,N/A,N/A,N/A,N/A,0
"construction",small,1.00,1.00,0.00,0.00,1
"construction",medium,N/A,N/A,N/A,N/A,0
"construction",large,N/A,N/A,N/A,N/A,0
"leisure, travel & tourism",small,N/A,N/A,N/A,N/A,0
"leisure, travel & tourism",medium,1.00,1.00,0.00,1.00,1
"leisure, travel & tourism",large,N/A,N/A,N/A,N/A,0
"warehousing",small,N/A,N/A,N/A,N/A,0
"warehousing",medium,N/A,N/A,N/A,N/A,0
"warehousing",large,1.00,1.00,0.00,1.00,1
"wholesale",small,N/A,N/A,N/A,N/A,0
"wholesale",medium,1.00,1.00,0.00,1.00,1
"wholesale",large,N/A,N/A,N/A,N/A,0
"computer networking",small,N/A,N/A,N/A,N/A,0
"computer networking",medium,N/A,N/A,N/A,N/A,0
"computer networking",large,1.00,1.00,0.00,0.00,1
"religious institutions",small,1.00,1.00,0.00,1.00,1
"religious institutions",medium,N/A,N/A,N/A,N/A,0
"religious institutions",large,N/A,N/A,N/A,N/A,0
