Date,Publication,Headline,URL
20070521,The Guardian,Joanna Moorhead: Will it translate into action?,http://www.theguardian.com/commentisfree/2013/jul/29/rhetoric-pope-francis-brazil-translate-action
20160302,New York Times,"Gil Hill, Detroit Detective and ‘Beverly Hills Cop’ Actor, Dies at 84",http://www.nytimes.com/2016/03/02/arts/gil-hill-detroit-detective-and-beverly-hills-cop-actor-dies-at-84.html
20130614,BBC,Lone pilot’s bold Arctic mission,http://www.bbc.com/future/story/20130522-lone-pilots-bold-arctic-mission
20091225,Daily Mail,Stuntwoman suffers serious head injuries on Transformers 3 set,http://www.dailymail.co.uk/news/worldnews/article-1308437/Stuntwoman-suffers-head-injuries-Transformers-3-set.html
20090609,Daily Mail,Jessica Simpson clowns around to help promote her fashion line in a Macy's commercial She says she plans to use 'real' people to model the line,http://www.dailymail.co.uk/tvshowbiz/article-1308451/Jessica-Simpson-clowns-help-promote-fashion-line-Macys-commercial.html
20160109,New York Post,Jennifer Gould Keil  Britney Spears’ old NYC penthouse is on the market for $7.6M         :0,http://nypost.com/2016/01/06/britney-spears-old-nyc-penthouse-is-on-the-market-for-7-6m/
20120625,FOX,Arizona Gov. Brewer Deems Ruling a 'Victory',http://www.foxnews.com/politics/2012/06/25/brewer-supreme-court-arizona-decision-victory-for-rule-law/
20100709,The Guardian,New claims of Apple mistreatment,http://www.theguardian.com/technology/2013/jul/29/apple-investugates-claims-china-factory
20091031,New York Times,A Good Appetite: Having My Cake and Eating It Too,http://www.nytimes.com/2009/11/04/dining/04appe.html?hpw
20130907,The Guardian,Egypt attacks suspected militants,http://www.theguardian.com/world/2013/sep/07/egypt-suspected-militants-sinai
20150301,FOX,Entertainment,//web.archive.orghttp://www.foxnews.com/entertainment/
20140630,FOX,McDaniel unveils strategy to seek another runoff against Sen. Cochran,http://www.foxnews.com/politics/2014/06/30/mcdaniel-unveils-another-strategy-against-thad-cochran/
20121029,New York Times,Oxen’s Fate Is Embattled as the Abattoir Awaits,http://www.nytimes.com/2012/10/29/us/oxens-possible-slaughter-prompts-fight-in-vermont.html
20150205,New York Times,Op-Ed Contributors: What Causes Girls to Enter Puberty Early? NYT Now,http://www.nytimes.com/2015/02/05/opinion/what-causes-girls-to-enter-puberty-early.html
20070515,CNBC,"Congratulations to Jonathan Tucker for winning Trading with the Stars.  Jonathan has won $55,000 for his charity the Pegasus Fund.",http://www.cnbc.com/id/18655400
20140521,FOX,U.S.,//web.archive.orghttp://www.foxnews.com/us/
20100304,New York Times,Getting the Most Out of Twitter,http://www.nytimes.com/2010/03/04/technology/04basics.html?hpw
