Date,Publication,Headline,URL
20150127,FOX,"ISIS threatens Obama, Japanese and Jordanian hostages in new ...",http://www.foxnews.com/world/2015/01/27/isis-threatens-obama-japanese-and-jordanian-hostages-in-new-online-messages/
20110517,BBC,Reworked Spider-Man draws crowds,http://www.bbc.co.uk/news/entertainment-arts-13422545
20101006,Daily Mail,Kanzi the amazing ape who can 'speak' with humans appears on Oprah,http://www.dailymail.co.uk/sciencetech/article-1317838/Kanzi-amazing-ape-speak-humans-understands-450-words.html
20111101,Washington Post,Milbank: The GOP’s God bill,http://www.washingtonpost.com/opinions/house-republicans-keeping-the-faith/2011/11/01/gIQAP8EPdM_story.html
20100902,New York Post,Dream homes,http://www.nypost.com/p/news/business/realestate/residential/dream_homes_SWgzq7GiMJPWWDWCR3dbPJ
20090106,The Guardian,Joanna Moorhead: Will it translate into action?,http://www.theguardian.com/commentisfree/2013/jul/29/rhetoric-pope-francis-brazil-translate-action
20141124,CNBC,Finance,http://www.cnbc.com/id/10000664
20121024,New York Post,Eva dumps Mark,http://www.nypost.com/p/pagesix/time_runs_out_on_mark_eva_AMdCi9GLCjTp2RPvNxjBhM
20121127,FOX,Syrian planes bomb olive press factory killing dozens,http://www.foxnews.com/world/2012/11/27/syrian-planes-bomb-olive-press-factory-killing-and-wounding-dozens/?test=latestnews
