Date,Publication,Headline,URL
20080620,CNBC,Oil Closes Above $134 on Israeli Military Maneuvers,http://www.cnbc.com/id/25272836
20150622,BBC,'War crimes by both sides' in Gaza,http://www.bbc.com/news/world-middle-east-33223365
20100903,New York Post,DiNapoli tells state workers how to game pension system,http://www.nypost.com/p/news/politics/dinapoli_tells_state_workers_how_ekk28YKWFQ16vGfz8vYnOO
20120329,New York Post,Justin Terranova,http://www.nypost.com/p/blogs/backpage/four_corners_hNZZa9J6Hm3lOxAdKyJOaN
20130629,New York Post,"Heartless 'fans' sell Gandolfini funeral programs on eBay — one asks for $1,000!",http://www.nypost.com/p/news/national/heartless_fans_sell_gandolfini_funeral_aVQuQZqeZ0CFJ7AX4VJHPL
20081209,New York Times,Read,http://cityroom.blogs.nytimes.com/2008/12/09/officers-surrender-in-assault-case/#comments
20080522,New York Times,Artisanal Offerings Are the Trend at Furniture Fair,http://www.nytimes.com/2008/05/22/garden/22sside.html
20160227,New York Post,16-year-old girl raped by classmates on field trip         :0,http://nypost.com/2016/02/27/16-year-old-girl-raped-by-classmates-on-field-trip/
20070419,Daily Mail,£1m Paxman could face 20% cut in BBC's salary squeeze,http://www.dailymail.co.uk/news/article-1308544/1m-Paxman-face-20-cut-BBCs-salary-squeeze.html
20121028,New York Post,Chill factor,http://www.nypost.com/p/news/business/chill_factor_VeiW0yMG1FYgO3Mdz5FXTL
20140814,CNN,"Ferguson, a war zone or U.S. city?",http://www.cnn.com/2014/08/14/opinion/lynch-ferguson-police/index.html?hpt=hp_t3
20150430,FOX,State Department allowing Clinton Foundation to approve emails for release,http://www.foxnews.com/politics/2015/04/30/state-department-allowing-clinton-foundation-to-approve-emails-for-release/?intcmp=latestnews
20100730,New York Times,Bucks:    Why an Average Return Is Not Normal,http://bucks.blogs.nytimes.com/2010/07/30/outliers-matter-why-average-is-not-normal/?hp
20140830,BBC,Sunday's gossip column,http://www.bbc.com/sport/29001485
20141029,New York Times,Out There: Stephen Hawking’s Movie Life Story Is Not Very Scientific,http://www.nytimes.com/2014/10/28/science/stephen-hawkings-movie-life-story-is-not-very-scientific.html
20091017,New York Times,"Behind the Wheel | 2009 Ferrari California: Color It Red, Like a Sea of Ink",http://www.nytimes.com/2009/10/18/automobiles/autoreviews/18ferrari.html?hpw
20140708,CNBC,Citi nears $4B deal to settle mortgage probe: DJ,http://www.cnbc.com/id/101805254?trknav=homestack:topnews:14
20150917,Daily Mail,121 comments,http://www.dailymail.co.uk/news/article-3238124/Brooklyn-Nets-Rondae-Hollis-Jefferson-20-lives-New-Jersey-two-housemates-drives-training-ridiculous-New-York-rent.html#comments
20070115,Daily Mail,Kate Hudson leaves rockstar lover Matt Bellamy behind as she takes son Ryder on the transatlantic school run She headed back to New York with Ryder,http://www.dailymail.co.uk/tvshowbiz/article-1308474/Kate-Hudson-leaves-rockstar-lover-Matt-Bellamy-takes-son-Ryder-transatlantic-school-run.html
20080112,CNBC,"Nigerian Attacks: Is Oil Market ""Immune"" From Chaos?",http://www.cnbc.com/id/22593976
20081014,Washington Post,Watch Voices on Leadership Sponsored by SAP,http://ad.doubleclick.net/clk;205758032;27768753;q?http://www.washingtonpost.com/wp-dyn/content/video/2008/07/07/VI2008070700969.html
20130525,BBC,,http://www.bbc.co.uk/news/video_and_audio/
