size range,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles,count_non_breach_articles,percentage_non_breach_articles
10001+,54,23.27586206896552,6568,51.57440125638006,-6514,52.09949612093098
1001 - 5000,40,17.24137931034483,1037,8.142913231252454,-997,7.974086219307367
51 - 200,32,13.79310344827586,842,6.611700039261876,-810,6.478445173158443
5001 - 10000,25,10.775862068965516,1111,8.72398900667452,-1086,8.685915380308726
201 - 500,24,10.344827586206897,1084,8.5119748723989,-1060,8.4779652883308
11 - 50,24,10.344827586206897,891,6.996466431095406,-867,6.934335759417739
1 - 10,18,7.758620689655173,829,6.509619159795839,-811,6.486443253619131
501 - 1000,15,6.465517241379311,373,2.92893600314095,-358,2.8633128049268177
